Fecha,Area_Sanitaria,Casos_Abiertos,Pruebas_PCR_Realizadas,Porcentaje_Infecciones
2020-03-04,"A.S. VIGO","0","8","0%"
2020-03-04,"GALICIA","0","29","0%"
2020-03-05,"A.S. A CORUÑA E CEE","0","5","0%"
2020-03-05,"A.S. LUGO, A MARIÑA E MONFORTE","0","4","0%"
2020-03-05,"A.S. OURENSE, VERÍN E O BARCO","0","1","0%"
2020-03-05,"A.S. PONTEVEDRA E O SALNÉS","0","3","0%"
2020-03-05,"A.S. SANTIAGO E BARBANZA","0","1","0%"
2020-03-05,"A.S. VIGO","0","15","0%"
2020-03-05,"GALICIA","0","29","0%"
2020-03-06,"A.S. A CORUÑA E CEE","0","10","0%"
2020-03-06,"A.S. FERROL","0","3","0%"
2020-03-06,"A.S. LUGO, A MARIÑA E MONFORTE","0","2","0%"
2020-03-06,"A.S. OURENSE, VERÍN E O BARCO","0","6","0%"
2020-03-06,"A.S. PONTEVEDRA E O SALNÉS","0","3","0%"
2020-03-06,"A.S. SANTIAGO E BARBANZA","0","5","0%"
2020-03-06,"A.S. VIGO","4","22","18,18%"
2020-03-06,"GALICIA","4","51","7,84%"
2020-03-07,"A.S. A CORUÑA E CEE","0","4","0%"
2020-03-07,"A.S. LUGO, A MARIÑA E MONFORTE","0","2","0%"
2020-03-07,"A.S. OURENSE, VERÍN E O BARCO","0","5","0%"
2020-03-07,"A.S. PONTEVEDRA E O SALNÉS","0","1","0%"
2020-03-07,"A.S. SANTIAGO E BARBANZA","0","6","0%"
2020-03-07,"A.S. VIGO","0","17","0%"
2020-03-07,"GALICIA","0","35","0%"
2020-03-08,"A.S. A CORUÑA E CEE","5","16","31,25%"
2020-03-08,"A.S. OURENSE, VERÍN E O BARCO","0","2","0%"
2020-03-08,"A.S. PONTEVEDRA E O SALNÉS","0","1","0%"
2020-03-08,"A.S. SANTIAGO E BARBANZA","0","3","0%"
2020-03-08,"A.S. VIGO","0","8","0%"
2020-03-08,"GALICIA","5","30","16,67%"
2020-03-09,"A.S. A CORUÑA E CEE","0","24","0%"
2020-03-09,"A.S. FERROL","1","3","33,33%"
2020-03-09,"A.S. LUGO, A MARIÑA E MONFORTE","0","3","0%"
2020-03-09,"A.S. OURENSE, VERÍN E O BARCO","0","2","0%"
2020-03-09,"A.S. PONTEVEDRA E O SALNÉS","0","3","0%"
2020-03-09,"A.S. SANTIAGO E BARBANZA","0","4","0%"
2020-03-09,"A.S. VIGO","0","24","0%"
2020-03-09,"GALICIA","1","63","1,59%"
2020-03-10,"A.S. A CORUÑA E CEE","0","23","0%"
2020-03-10,"A.S. FERROL","0","2","0%"
2020-03-10,"A.S. LUGO, A MARIÑA E MONFORTE","0","4","0%"
2020-03-10,"A.S. OURENSE, VERÍN E O BARCO","0","2","0%"
2020-03-10,"A.S. PONTEVEDRA E O SALNÉS","1","7","14,29%"
2020-03-10,"A.S. SANTIAGO E BARBANZA","1","9","11,11%"
2020-03-10,"A.S. VIGO","0","29","0%"
2020-03-10,"GALICIA","2","76","2,63%"
2020-03-11,"A.S. A CORUÑA E CEE","19","46","41,3%"
2020-03-11,"A.S. FERROL","0","8","0%"
2020-03-11,"A.S. LUGO, A MARIÑA E MONFORTE","1","17","5,88%"
2020-03-11,"A.S. OURENSE, VERÍN E O BARCO","0","10","0%"
2020-03-11,"A.S. PONTEVEDRA E O SALNÉS","2","15","13,33%"
2020-03-11,"A.S. SANTIAGO E BARBANZA","0","11","0%"
2020-03-11,"A.S. VIGO","4","26","15,38%"
2020-03-11,"GALICIA","26","133","19,55%"
2020-03-12,"A.S. A CORUÑA E CEE","1","33","3,03%"
2020-03-12,"A.S. FERROL","0","11","0%"
2020-03-12,"A.S. LUGO, A MARIÑA E MONFORTE","3","11","27,27%"
2020-03-12,"A.S. OURENSE, VERÍN E O BARCO","0","11","0%"
2020-03-12,"A.S. PONTEVEDRA E O SALNÉS","4","23","17,39%"
2020-03-12,"A.S. SANTIAGO E BARBANZA","1","22","4,55%"
2020-03-12,"A.S. VIGO","3","55","5,45%"
2020-03-12,"GALICIA","12","166","7,23%"
2020-03-13,"A.S. A CORUÑA E CEE","30","91","32,97%"
2020-03-13,"A.S. FERROL","0","24","0%"
2020-03-13,"A.S. LUGO, A MARIÑA E MONFORTE","4","42","9,52%"
2020-03-13,"A.S. OURENSE, VERÍN E O BARCO","4","23","17,39%"
2020-03-13,"A.S. PONTEVEDRA E O SALNÉS","5","34","14,71%"
2020-03-13,"A.S. SANTIAGO E BARBANZA","8","43","18,6%"
2020-03-13,"A.S. VIGO","13","100","13%"
2020-03-13,"GALICIA","64","357","17,93%"
2020-03-14,"A.S. A CORUÑA E CEE","6","88","6,82%"
2020-03-14,"A.S. FERROL","0","11","0%"
2020-03-14,"A.S. LUGO, A MARIÑA E MONFORTE","1","29","3,45%"
2020-03-14,"A.S. OURENSE, VERÍN E O BARCO","9","36","25%"
2020-03-14,"A.S. PONTEVEDRA E O SALNÉS","5","40","12,5%"
2020-03-14,"A.S. SANTIAGO E BARBANZA","11","53","20,75%"
2020-03-14,"A.S. VIGO","13","79","16,46%"
2020-03-14,"GALICIA","45","336","13,39%"
2020-03-15,"A.S. A CORUÑA E CEE","16","55","29,09%"
2020-03-15,"A.S. FERROL","1","18","5,56%"
2020-03-15,"A.S. LUGO, A MARIÑA E MONFORTE","3","28","10,71%"
2020-03-15,"A.S. OURENSE, VERÍN E O BARCO","10","40","25%"
2020-03-15,"A.S. PONTEVEDRA E O SALNÉS","9","40","22,5%"
2020-03-15,"A.S. SANTIAGO E BARBANZA","12","63","19,05%"
2020-03-15,"A.S. VIGO","8","71","11,27%"
2020-03-15,"GALICIA","59","315","18,73%"
2020-03-16,"A.S. A CORUÑA E CEE","23","103","22,33%"
2020-03-16,"A.S. FERROL","3","21","14,29%"
2020-03-16,"A.S. LUGO, A MARIÑA E MONFORTE","14","44","31,82%"
2020-03-16,"A.S. OURENSE, VERÍN E O BARCO","4","41","9,76%"
2020-03-16,"A.S. PONTEVEDRA E O SALNÉS","9","62","14,52%"
2020-03-16,"A.S. SANTIAGO E BARBANZA","14","49","28,57%"
2020-03-16,"A.S. VIGO","7","82","8,54%"
2020-03-16,"GALICIA","74","402","18,41%"
2020-03-17,"A.S. A CORUÑA E CEE","37","118","31,36%"
2020-03-17,"A.S. FERROL","5","45","11,11%"
2020-03-17,"A.S. LUGO, A MARIÑA E MONFORTE","7","36","19,44%"
2020-03-17,"A.S. OURENSE, VERÍN E O BARCO","11","44","25%"
2020-03-17,"A.S. PONTEVEDRA E O SALNÉS","13","49","26,53%"
2020-03-17,"A.S. SANTIAGO E BARBANZA","12","75","16%"
2020-03-17,"A.S. VIGO","22","115","19,13%"
2020-03-17,"GALICIA","107","482","22,2%"
2020-03-18,"A.S. A CORUÑA E CEE","23","107","21,5%"
2020-03-18,"A.S. FERROL","9","47","19,15%"
2020-03-18,"A.S. LUGO, A MARIÑA E MONFORTE","12","61","19,67%"
2020-03-18,"A.S. OURENSE, VERÍN E O BARCO","12","45","26,67%"
2020-03-18,"A.S. PONTEVEDRA E O SALNÉS","26","100","26%"
2020-03-18,"A.S. SANTIAGO E BARBANZA","29","121","23,97%"
2020-03-18,"A.S. VIGO","41","223","18,39%"
2020-03-18,"GALICIA","152","704","21,59%"
2020-03-19,"A.S. A CORUÑA E CEE","31","121","25,62%"
2020-03-19,"A.S. FERROL","4","33","12,12%"
2020-03-19,"A.S. LUGO, A MARIÑA E MONFORTE","6","16","37,5%"
2020-03-19,"A.S. OURENSE, VERÍN E O BARCO","13","61","21,31%"
2020-03-19,"A.S. PONTEVEDRA E O SALNÉS","25","97","25,77%"
2020-03-19,"A.S. SANTIAGO E BARBANZA","15","80","18,75%"
2020-03-19,"A.S. VIGO","35","232","15,09%"
2020-03-19,"GALICIA","129","640","20,16%"
2020-03-20,"A.S. A CORUÑA E CEE","57","203","28,08%"
2020-03-20,"A.S. FERROL","8","42","19,05%"
2020-03-20,"A.S. LUGO, A MARIÑA E MONFORTE","6","45","13,33%"
2020-03-20,"A.S. OURENSE, VERÍN E O BARCO","25","73","34,25%"
2020-03-20,"A.S. PONTEVEDRA E O SALNÉS","26","125","20,8%"
2020-03-20,"A.S. SANTIAGO E BARBANZA","19","128","14,84%"
2020-03-20,"A.S. VIGO","37","241","15,35%"
2020-03-20,"GALICIA","178","857","20,77%"
2020-03-21,"A.S. A CORUÑA E CEE","41","189","21,69%"
2020-03-21,"A.S. FERROL","7","57","12,28%"
2020-03-21,"A.S. LUGO, A MARIÑA E MONFORTE","4","16","25%"
2020-03-21,"A.S. OURENSE, VERÍN E O BARCO","36","102","35,29%"
2020-03-21,"A.S. PONTEVEDRA E O SALNÉS","33","138","23,91%"
2020-03-21,"A.S. SANTIAGO E BARBANZA","62","273","22,71%"
2020-03-21,"A.S. VIGO","61","270","22,59%"
2020-03-21,"GALICIA","244","1.045","23,35%"
2020-03-22,"A.S. A CORUÑA E CEE","63","189","33,33%"
2020-03-22,"A.S. FERROL","6","39","15,38%"
2020-03-22,"A.S. LUGO, A MARIÑA E MONFORTE","4","13","30,77%"
2020-03-22,"A.S. OURENSE, VERÍN E O BARCO","22","67","32,84%"
2020-03-22,"A.S. PONTEVEDRA E O SALNÉS","12","74","16,22%"
2020-03-22,"A.S. SANTIAGO E BARBANZA","18","87","20,69%"
2020-03-22,"A.S. VIGO","42","192","21,88%"
2020-03-22,"GALICIA","167","661","25,26%"
2020-03-23,"A.S. A CORUÑA E CEE","54","189","28,57%"
2020-03-23,"A.S. FERROL","3","41","7,32%"
2020-03-23,"A.S. LUGO, A MARIÑA E MONFORTE","39","134","29,1%"
2020-03-23,"A.S. OURENSE, VERÍN E O BARCO","37","128","28,91%"
2020-03-23,"A.S. PONTEVEDRA E O SALNÉS","17","64","26,56%"
2020-03-23,"A.S. SANTIAGO E BARBANZA","59","225","26,22%"
2020-03-23,"A.S. VIGO","40","212","18,87%"
2020-03-23,"GALICIA","249","993","25,08%"
2020-03-24,"A.S. A CORUÑA E CEE","62","245","25,31%"
2020-03-24,"A.S. FERROL","8","27","29,63%"
2020-03-24,"A.S. LUGO, A MARIÑA E MONFORTE","22","92","23,91%"
2020-03-24,"A.S. OURENSE, VERÍN E O BARCO","29","98","29,59%"
2020-03-24,"A.S. PONTEVEDRA E O SALNÉS","28","104","26,92%"
2020-03-24,"A.S. SANTIAGO E BARBANZA","35","181","19,34%"
2020-03-24,"A.S. VIGO","79","281","28,11%"
2020-03-24,"GALICIA","263","1.028","25,58%"
2020-03-25,"A.S. A CORUÑA E CEE","97","264","36,74%"
2020-03-25,"A.S. FERROL","8","37","21,62%"
2020-03-25,"A.S. LUGO, A MARIÑA E MONFORTE","29","162","17,9%"
2020-03-25,"A.S. OURENSE, VERÍN E O BARCO","66","148","44,59%"
2020-03-25,"A.S. PONTEVEDRA E O SALNÉS","33","109","30,28%"
2020-03-25,"A.S. SANTIAGO E BARBANZA","33","152","21,71%"
2020-03-25,"A.S. VIGO","59","216","27,31%"
2020-03-25,"GALICIA","325","1.088","29,87%"
2020-03-26,"A.S. A CORUÑA E CEE","102","412","24,76%"
2020-03-26,"A.S. FERROL","12","71","16,9%"
2020-03-26,"A.S. LUGO, A MARIÑA E MONFORTE","67","229","29,26%"
2020-03-26,"A.S. OURENSE, VERÍN E O BARCO","54","249","21,69%"
2020-03-26,"A.S. PONTEVEDRA E O SALNÉS","33","175","18,86%"
2020-03-26,"A.S. SANTIAGO E BARBANZA","109","388","28,09%"
2020-03-26,"A.S. VIGO","80","352","22,73%"
2020-03-26,"GALICIA","457","1.876","24,36%"
2020-03-27,"A.S. A CORUÑA E CEE","109","560","19,46%"
2020-03-27,"A.S. FERROL","59","239","24,69%"
2020-03-27,"A.S. LUGO, A MARIÑA E MONFORTE","44","276","15,94%"
2020-03-27,"A.S. OURENSE, VERÍN E O BARCO","67","151","44,37%"
2020-03-27,"A.S. PONTEVEDRA E O SALNÉS","41","158","25,95%"
2020-03-27,"A.S. SANTIAGO E BARBANZA","74","334","22,16%"
2020-03-27,"A.S. VIGO","95","358","26,54%"
2020-03-27,"GALICIA","489","2.076","23,55%"
2020-03-28,"A.S. A CORUÑA E CEE","98","395","24,81%"
2020-03-28,"A.S. FERROL","30","85","35,29%"
2020-03-28,"A.S. LUGO, A MARIÑA E MONFORTE","2","80","2,5%"
2020-03-28,"A.S. OURENSE, VERÍN E O BARCO","40","99","40,4%"
2020-03-28,"A.S. PONTEVEDRA E O SALNÉS","26","93","27,96%"
2020-03-28,"A.S. SANTIAGO E BARBANZA","41","220","18,64%"
2020-03-28,"A.S. VIGO","97","438","22,15%"
2020-03-28,"GALICIA","334","1.410","23,69%"
2020-03-29,"A.S. A CORUÑA E CEE","39","154","25,32%"
2020-03-29,"A.S. FERROL","16","110","14,55%"
2020-03-29,"A.S. LUGO, A MARIÑA E MONFORTE","140","290","48,28%"
2020-03-29,"A.S. OURENSE, VERÍN E O BARCO","87","242","35,95%"
2020-03-29,"A.S. PONTEVEDRA E O SALNÉS","34","121","28,1%"
2020-03-29,"A.S. SANTIAGO E BARBANZA","44","179","24,58%"
2020-03-29,"A.S. VIGO","156","432","36,11%"
2020-03-29,"GALICIA","516","1.528","33,77%"
2020-03-30,"A.S. A CORUÑA E CEE","80","331","24,17%"
2020-03-30,"A.S. FERROL","56","233","24,03%"
2020-03-30,"A.S. LUGO, A MARIÑA E MONFORTE","60","173","34,68%"
2020-03-30,"A.S. OURENSE, VERÍN E O BARCO","35","78","44,87%"
2020-03-30,"A.S. PONTEVEDRA E O SALNÉS","11","95","11,58%"
2020-03-30,"A.S. SANTIAGO E BARBANZA","33","198","16,67%"
2020-03-30,"A.S. VIGO","60","369","16,26%"
2020-03-30,"GALICIA","335","1.477","22,68%"
2020-03-31,"A.S. A CORUÑA E CEE","106","424","25%"
2020-03-31,"A.S. FERROL","18","86","20,93%"
2020-03-31,"A.S. LUGO, A MARIÑA E MONFORTE","45","171","26,32%"
2020-03-31,"A.S. OURENSE, VERÍN E O BARCO","103","296","34,8%"
2020-03-31,"A.S. PONTEVEDRA E O SALNÉS","16","128","12,5%"
2020-03-31,"A.S. SANTIAGO E BARBANZA","39","204","19,12%"
2020-03-31,"A.S. VIGO","81","480","16,88%"
2020-03-31,"GALICIA","408","1.789","22,81%"
2020-04-01,"A.S. A CORUÑA E CEE","66","390","16,92%"
2020-04-01,"A.S. FERROL","16","120","13,33%"
2020-04-01,"A.S. LUGO, A MARIÑA E MONFORTE","34","229","14,85%"
2020-04-01,"A.S. OURENSE, VERÍN E O BARCO","76","236","32,2%"
2020-04-01,"A.S. PONTEVEDRA E O SALNÉS","30","266","11,28%"
2020-04-01,"A.S. SANTIAGO E BARBANZA","46","249","18,47%"
2020-04-01,"A.S. VIGO","47","576","8,16%"
2020-04-01,"GALICIA","315","2.066","15,25%"
2020-04-02,"A.S. A CORUÑA E CEE","45","348","12,93%"
2020-04-02,"A.S. FERROL","22","187","11,76%"
2020-04-02,"A.S. LUGO, A MARIÑA E MONFORTE","28","272","10,29%"
2020-04-02,"A.S. OURENSE, VERÍN E O BARCO","186","410","45,37%"
2020-04-02,"A.S. PONTEVEDRA E O SALNÉS","33","293","11,26%"
2020-04-02,"A.S. SANTIAGO E BARBANZA","42","235","17,87%"
2020-04-02,"A.S. VIGO","44","287","15,33%"
2020-04-02,"GALICIA","400","2.032","19,69%"
2020-04-03,"A.S. A CORUÑA E CEE","59","348","16,95%"
2020-04-03,"A.S. FERROL","28","233","12,02%"
2020-04-03,"A.S. LUGO, A MARIÑA E MONFORTE","24","273","8,79%"
2020-04-03,"A.S. OURENSE, VERÍN E O BARCO","82","277","29,6%"
2020-04-03,"A.S. PONTEVEDRA E O SALNÉS","25","258","9,69%"
2020-04-03,"A.S. SANTIAGO E BARBANZA","60","456","13,16%"
2020-04-03,"A.S. VIGO","34","464","7,33%"
2020-04-03,"GALICIA","312","2.309","13,51%"
2020-04-04,"A.S. A CORUÑA E CEE","40","384","10,42%"
2020-04-04,"A.S. FERROL","14","193","7,25%"
2020-04-04,"A.S. LUGO, A MARIÑA E MONFORTE","5","304","1,64%"
2020-04-04,"A.S. OURENSE, VERÍN E O BARCO","66","264","25%"
2020-04-04,"A.S. PONTEVEDRA E O SALNÉS","23","200","11,5%"
2020-04-04,"A.S. SANTIAGO E BARBANZA","79","548","14,42%"
2020-04-04,"A.S. VIGO","26","188","13,83%"
2020-04-04,"GALICIA","253","2.081","12,16%"
2020-04-05,"A.S. A CORUÑA E CEE","54","433","12,47%"
2020-04-05,"A.S. FERROL","2","38","5,26%"
2020-04-05,"A.S. LUGO, A MARIÑA E MONFORTE","14","330","4,24%"
2020-04-05,"A.S. OURENSE, VERÍN E O BARCO","43","205","20,98%"
2020-04-05,"A.S. PONTEVEDRA E O SALNÉS","14","130","10,77%"
2020-04-05,"A.S. SANTIAGO E BARBANZA","40","371","10,78%"
2020-04-05,"A.S. VIGO","29","300","9,67%"
2020-04-05,"GALICIA","196","1.807","10,85%"
2020-04-06,"A.S. A CORUÑA E CEE","80","516","15,5%"
2020-04-06,"A.S. FERROL","11","233","4,72%"
2020-04-06,"A.S. LUGO, A MARIÑA E MONFORTE","18","416","4,33%"
2020-04-06,"A.S. OURENSE, VERÍN E O BARCO","15","246","6,1%"
2020-04-06,"A.S. PONTEVEDRA E O SALNÉS","7","163","4,29%"
2020-04-06,"A.S. SANTIAGO E BARBANZA","19","142","13,38%"
2020-04-06,"A.S. VIGO","31","218","14,22%"
2020-04-06,"GALICIA","181","1.934","9,36%"
2020-04-07,"A.S. A CORUÑA E CEE","29","341","8,5%"
2020-04-07,"A.S. FERROL","9","171","5,26%"
2020-04-07,"A.S. LUGO, A MARIÑA E MONFORTE","14","278","5,04%"
2020-04-07,"A.S. OURENSE, VERÍN E O BARCO","78","278","28,06%"
2020-04-07,"A.S. PONTEVEDRA E O SALNÉS","5","144","3,47%"
2020-04-07,"A.S. SANTIAGO E BARBANZA","58","475","12,21%"
2020-04-07,"A.S. VIGO","30","253","11,86%"
2020-04-07,"GALICIA","223","1.940","11,49%"
2020-04-08,"A.S. A CORUÑA E CEE","48","347","13,83%"
2020-04-08,"A.S. FERROL","10","382","2,62%"
2020-04-08,"A.S. LUGO, A MARIÑA E MONFORTE","9","482","1,87%"
2020-04-08,"A.S. OURENSE, VERÍN E O BARCO","38","256","14,84%"
2020-04-08,"A.S. PONTEVEDRA E O SALNÉS","27","300","9%"
2020-04-08,"A.S. SANTIAGO E BARBANZA","39","269","14,5%"
2020-04-08,"A.S. VIGO","41","392","10,46%"
2020-04-08,"GALICIA","212","2.428","8,73%"
2020-04-09,"A.S. A CORUÑA E CEE","30","262","11,45%"
2020-04-09,"A.S. FERROL","1","230","0,43%"
2020-04-09,"A.S. LUGO, A MARIÑA E MONFORTE","13","387","3,36%"
2020-04-09,"A.S. OURENSE, VERÍN E O BARCO","51","558","9,14%"
2020-04-09,"A.S. PONTEVEDRA E O SALNÉS","18","194","9,28%"
2020-04-09,"A.S. SANTIAGO E BARBANZA","24","243","9,88%"
2020-04-09,"A.S. VIGO","39","406","9,61%"
2020-04-09,"GALICIA","176","2.280","7,72%"
2020-04-10,"A.S. A CORUÑA E CEE","49","396","12,37%"
2020-04-10,"A.S. FERROL","7","427","1,64%"
2020-04-10,"A.S. LUGO, A MARIÑA E MONFORTE","27","314","8,6%"
2020-04-10,"A.S. OURENSE, VERÍN E O BARCO","72","542","13,28%"
2020-04-10,"A.S. PONTEVEDRA E O SALNÉS","11","126","8,73%"
2020-04-10,"A.S. SANTIAGO E BARBANZA","11","306","3,59%"
2020-04-10,"A.S. VIGO","31","241","12,86%"
2020-04-10,"GALICIA","208","2.352","8,84%"
2020-04-11,"A.S. A CORUÑA E CEE","68","348","19,54%"
2020-04-11,"A.S. FERROL","4","145","2,76%"
2020-04-11,"A.S. LUGO, A MARIÑA E MONFORTE","5","145","3,45%"
2020-04-11,"A.S. OURENSE, VERÍN E O BARCO","32","554","5,78%"
2020-04-11,"A.S. PONTEVEDRA E O SALNÉS","13","217","5,99%"
2020-04-11,"A.S. SANTIAGO E BARBANZA","12","106","11,32%"
2020-04-11,"A.S. VIGO","26","258","10,08%"
2020-04-11,"GALICIA","160","1.773","9,02%"
2020-04-12,"A.S. A CORUÑA E CEE","33","408","8,09%"
2020-04-12,"A.S. FERROL","11","306","3,59%"
2020-04-12,"A.S. LUGO, A MARIÑA E MONFORTE","4","258","1,55%"
2020-04-12,"A.S. OURENSE, VERÍN E O BARCO","41","553","7,41%"
2020-04-12,"A.S. PONTEVEDRA E O SALNÉS","12","210","5,71%"
2020-04-12,"A.S. SANTIAGO E BARBANZA","10","472","2,12%"
2020-04-12,"A.S. VIGO","15","181","8,29%"
2020-04-12,"GALICIA","126","2.388","5,28%"
2020-04-13,"A.S. A CORUÑA E CEE","21","315","6,67%"
2020-04-13,"A.S. FERROL","2","206","0,97%"
2020-04-13,"A.S. LUGO, A MARIÑA E MONFORTE","3","102","2,94%"
2020-04-13,"A.S. OURENSE, VERÍN E O BARCO","11","511","2,15%"
2020-04-13,"A.S. PONTEVEDRA E O SALNÉS","6","137","4,38%"
2020-04-13,"A.S. SANTIAGO E BARBANZA","20","297","6,73%"
2020-04-13,"A.S. VIGO","25","301","8,31%"
2020-04-13,"GALICIA","88","1.869","4,71%"
2020-04-14,"A.S. A CORUÑA E CEE","34","385","8,83%"
2020-04-14,"A.S. FERROL","4","177","2,26%"
2020-04-14,"A.S. LUGO, A MARIÑA E MONFORTE","4","337","1,19%"
2020-04-14,"A.S. OURENSE, VERÍN E O BARCO","15","496","3,02%"
2020-04-14,"A.S. PONTEVEDRA E O SALNÉS","5","289","1,73%"
2020-04-14,"A.S. SANTIAGO E BARBANZA","25","250","10%"
2020-04-14,"A.S. VIGO","10","263","3,8%"
2020-04-14,"GALICIA","97","2.197","4,42%"
2020-04-15,"A.S. A CORUÑA E CEE","78","533","14,63%"
2020-04-15,"A.S. FERROL","7","195","3,59%"
2020-04-15,"A.S. LUGO, A MARIÑA E MONFORTE","7","487","1,44%"
2020-04-15,"A.S. OURENSE, VERÍN E O BARCO","23","493","4,67%"
2020-04-15,"A.S. PONTEVEDRA E O SALNÉS","12","259","4,63%"
2020-04-15,"A.S. SANTIAGO E BARBANZA","17","529","3,21%"
2020-04-15,"A.S. VIGO","24","465","5,16%"
2020-04-15,"GALICIA","168","2.961","5,67%"
2020-04-16,"A.S. A CORUÑA E CEE","41","641","6,4%"
2020-04-16,"A.S. FERROL","4","435","0,92%"
2020-04-16,"A.S. LUGO, A MARIÑA E MONFORTE","2","367","0,54%"
2020-04-16,"A.S. OURENSE, VERÍN E O BARCO","28","918","3,05%"
2020-04-16,"A.S. PONTEVEDRA E O SALNÉS","4","157","2,55%"
2020-04-16,"A.S. SANTIAGO E BARBANZA","25","536","4,66%"
2020-04-16,"A.S. VIGO","18","497","3,62%"
2020-04-16,"GALICIA","122","3.551","3,44%"
2020-04-17,"A.S. A CORUÑA E CEE","15","546","2,75%"
2020-04-17,"A.S. FERROL","2","180","1,11%"
2020-04-17,"A.S. LUGO, A MARIÑA E MONFORTE","5","398","1,26%"
2020-04-17,"A.S. OURENSE, VERÍN E O BARCO","17","181","9,39%"
2020-04-17,"A.S. PONTEVEDRA E O SALNÉS","6","217","2,76%"
2020-04-17,"A.S. SANTIAGO E BARBANZA","11","498","2,21%"
2020-04-17,"A.S. VIGO","14","259","5,41%"
2020-04-17,"GALICIA","70","2.279","3,07%"
2020-04-18,"A.S. A CORUÑA E CEE","26","663","3,92%"
2020-04-18,"A.S. FERROL","1","363","0,28%"
2020-04-18,"A.S. LUGO, A MARIÑA E MONFORTE","1","296","0,34%"
2020-04-18,"A.S. OURENSE, VERÍN E O BARCO","29","477","6,08%"
2020-04-18,"A.S. PONTEVEDRA E O SALNÉS","1","255","0,39%"
2020-04-18,"A.S. SANTIAGO E BARBANZA","8","567","1,41%"
2020-04-18,"A.S. VIGO","43","644","6,68%"
2020-04-18,"GALICIA","109","3.265","3,34%"
2020-04-19,"A.S. A CORUÑA E CEE","19","257","7,39%"
2020-04-19,"A.S. FERROL","5","252","1,98%"
2020-04-19,"A.S. LUGO, A MARIÑA E MONFORTE","13","473","2,75%"
2020-04-19,"A.S. OURENSE, VERÍN E O BARCO","9","424","2,12%"
2020-04-19,"A.S. PONTEVEDRA E O SALNÉS","5","181","2,76%"
